Tên coc,Toa do X,Toa do Y
327,1176152.95,607415.87,
328,1176162.43,607415.54,
329,1176161.7,607404.1,
330,1176161.3,607392.65,
331,1176168.17,607399.79,
332,1176184.05,607403.07,
333,1176189.38,607406.64,
334,1176191.47,607407.52,
335,1176195,607409,
336,1176200.34,607411.27,
337,1176209.6,607415.23,
338,1176219.28,607422.51,
339,1176228.1,607421.55,
340,1176234.59,607422.49,
341,1176254.05,607424.28,
342,1176270.22,607422.05,
343,1176300.88,607424.09,
344,1176315.49,607427.1,
345,1176327.42,607426.13,
346,1176345.11,607424.95,
347,1176351.76,607424.81,
348,1176356.41,607425.36,
349,1176361.89,607426.68,
350,1176366.54,607428.76,
351,1176375.34,607432.85,
352,1176380.4,607435.43,
353,1176382.77,607436.95,
354,1176393.1,607443.81,
355,1176403.43,607451.37,
356,1176411.96,607458.51,
357,1176418.07,607464.76,
358,1176426.39,607473.84,
359,1176431.66,607479.95,
360,1176436.72,607487.23,
361,1176446.31,607501.91,
362,1176447.81,607507.4,
363,1176453.12,607517.23,
364,1176457.39,607527.08,
365,1176469.05,607552.27,
366,1176475.14,607565.42,
367,1176495.11,607565.61,
368,1176496.7,607566.81,
369,1176506.56,607579.87,
370,1176506.18,607585.59,
371,1176510.01,607584.44,
372,1176512.74,607589.4,
373,1176527.13,607601.48,
374,1176529.23,607603.47,
375,1176537.08,607610.95,
376,1176545.41,607618.89,
377,1176555.4,607619.08,
378,1176563.75,607622.77,
379,1176565.67,607646,
380,1176571.36,607680.18,
381,1176567.84,607680.32,
382,1176568.61,607687.11,
383,1176574.13,607696.46,
384,1176580.55,607722.43,
385,1176582.87,607727.97,
386,1176589.12,607740.81,
387,1176594.23,607750.03,
388,1176594.91,607751.65,
389,1176592.39,607753.35,
